fixed indices,fixed values,context condition,message,counts,symbols,symbol MI
"[0, 1, 2]","[3, 0, 4]",,,,,
,,1.0,"(18, 14, 8, 0)",1.0,,
,,,,,13.0,0.40767050950128947
,,,,,15.0,0.5491347416945634
,,,,,18.0,0.30995018433105065
