game_nr,message,targets,fixed indices,context condition,distractors,accuracy
7073,"[27, 27, 22, 20]",[4. 7. 0. 0.],[0. 1. 0. 1.],0,[5. 6. 2. 3.],0.9906250238418579
21914,"[27, 27, 22, 20]",[0. 6. 2. 0.],[1. 1. 0. 1.],0,[4. 7. 1. 4.],0.9859374761581421
29502,"[27, 27, 22, 20]",[3. 7. 3. 0.],[1. 1. 0. 1.],0,[1. 4. 4. 5.],0.9953124523162842
58261,"[27, 27, 22, 20]",[0. 6. 0. 0.],[0. 1. 0. 1.],0,[0. 1. 0. 3.],0.987500011920929
96600,"[27, 27, 22, 20]",[7. 7. 1. 0.],[0. 1. 0. 1.],0,[5. 0. 2. 1.],0.9828125238418579
146952,"[27, 27, 22, 20]",[4. 7. 5. 0.],[1. 1. 0. 1.],0,[5. 1. 3. 1.],0.9953124523162842
153485,"[27, 27, 22, 20]",[4. 7. 4. 7.],[1. 1. 0. 1.],0,[0. 4. 2. 2.],0.9750000238418579
162616,"[27, 27, 22, 20]",[7. 7. 2. 0.],[0. 1. 0. 1.],1,[7. 1. 5. 0.],0.979687511920929
